parameter,number_measurements,measurement_spacing,sample_size,num_removed_values,sd_estimate,lower_ci,upper_ci,lower_ci_90,upper_ci_90,estimate,num_converged_values,pop_value,conv_fail,perc_error,bias_status,ci_status,precision_status,errorbar_length,time_structuredness
bold(F:~alpha[fixed]~(Maximal~Elevation)),9,Equal spacing,500,0,0.0026267119970077427,3.314462216818938,3.3247525038132952,3.3149402256985097,3.3238523075176722,3.3196650467733937,1000,3.32,0,0.01008895260861896,0,0,0,0.010290286994357078,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),9,Equal spacing,1000,0,0.0018410484099492064,3.3162158879064374,3.323411380322787,3.316862177307602,3.3227360386783054,3.3197116775862483,1000,3.32,0,0.008684410052757245,0,0,0,0.007195492416349758,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),11,Equal spacing,30,0,0.010423320934271578,3.3011998324456275,3.3411413328473807,3.3033825983590552,3.337312402473292,3.31979158617098,1000,3.32,0,0.006277524970473031,0,0,0,0.03994150040175315,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),11,Equal spacing,50,0,0.008309577584940706,3.3038386770413197,3.3363556348629264,3.306737822872282,3.333416125735924,3.3198929470861955,1000,3.32,0,0.0032244853555513965,0,0,0,0.032516957821606685,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),11,Equal spacing,100,0,0.0055607421103197555,3.308337470227786,3.330166650313361,3.3103284954217096,3.328412345607592,3.319679132079475,1000,3.32,0,0.00966469640134515,0,0,0,0.021829180085575217,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),11,Equal spacing,200,0,0.004131087995961769,3.31113423116896,3.327537717124483,3.3125258423943755,3.326292822614769,3.3195831929590893,1000,3.32,0,0.012554428943087838,0,0,0,0.01640348595552288,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),11,Equal spacing,500,0,0.002609210646969904,3.314555268196543,3.3244519668185992,3.315343912184496,3.32373561023079,3.3195879814245473,1000,3.32,0,0.01241019805580086,0,0,0,0.00989669862205611,Time unstructured (slow response)
bold(F:~alpha[fixed]~(Maximal~Elevation)),11,Equal spacing,1000,0,0.0018144317770911274,3.316261181055899,3.323253107356151,3.3167320829347244,3.3226686186565586,3.3196882024488983,1000,3.32,0,0.009391492503058912,0,0,0,0.006991926300251805,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),5,Equal spacing,30,0,5.058609760357389e-4,0.03162277660168379,0.06673184533413028,0.031622776601692756,0.06371510400623806,0.04886024724969712,999,0.05,0,2.279505500605766,0,1,1,0.035109068732446486,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),5,Equal spacing,50,0,5.058609760357389e-4,0.03276555384103372,0.06303784212053826,0.0349824854162634,0.060782290022786865,0.04880174526800792,1000,0.05,0,2.3965094639841618,0,1,1,0.03027228827950454,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),5,Equal spacing,100,0,5.058609760357389e-4,0.039002687375446966,0.05908439807363502,0.04045697984173586,0.05754311824640269,0.04943539757087707,1000,0.05,0,1.1292048582458718,0,1,1,0.02008171069818805,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),5,Equal spacing,200,0,5.058609760357389e-4,0.04135269042449405,0.056858035429418,0.04322233543471493,0.05570284054186984,0.049702719840903055,1000,0.05,0,0.5945603181938958,0,1,1,0.015505345004923954,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),5,Equal spacing,500,0,5.058609760357389e-4,0.045278488590751724,0.0545032197892419,0.046164522276258634,0.05390017075842858,0.049921678477897975,989,0.05,0,0.15664304420405506,0,0,0,0.009224731198490176,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),5,Equal spacing,1000,0,5.058609760357389e-4,0.04657382371835365,0.05322033353607215,0.047103290641972835,0.052602686320277245,0.04992471049818696,975,0.05,0,0.15057900362608345,0,0,0,0.006646509817718499,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),7,Equal spacing,30,0,4.2189431010600416e-4,0.03162277660168379,0.06511006604078383,0.03381356533922729,0.06287221421978462,0.04892525128326454,1000,0.05,0,2.149497433470926,0,1,1,0.03348728943910004,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),7,Equal spacing,50,0,4.2189431010600416e-4,0.03566929217405974,0.061248155294383703,0.0370781372736004,0.0595646024506522,0.04917257517848245,1000,0.05,0,1.6548496430351112,0,1,1,0.025578863120323966,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),7,Equal spacing,100,0,4.2189431010600416e-4,0.0404600421978012,0.05836477084717403,0.04157798733661227,0.05726728472216777,0.04956354270049169,1000,0.05,0,0.8729145990166304,0,1,1,0.017904728649372828,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),7,Equal spacing,200,0,4.2189431010600416e-4,0.04323234067639268,0.055950096868805456,0.04433692722903507,0.05533380105815814,0.049879712813301225,1000,0.05,0,0.24057437339755627,0,1,1,0.012717756192412777,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),7,Equal spacing,500,0,4.2189431010600416e-4,0.04559587813975871,0.05408559596094081,0.04633878670567231,0.053497616512790294,0.049863222770808215,995,0.05,0,0.2735544583835764,0,0,0,0.008489717821182102,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),7,Equal spacing,1000,0,4.2189431010600416e-4,0.047078753171948255,0.05277985359623923,0.04746719216947747,0.05234653034407141,0.04993795461547913,990,0.05,0,0.12409076904174032,0,0,0,0.005701100424290978,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),9,Equal spacing,30,0,2.9534632969050915e-4,0.03277143010161175,0.06631104643404977,0.03483450528519009,0.0627075382771131,0.049148370271494324,1000,0.05,0,1.703259457011358,0,1,1,0.033539616332438016,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),9,Equal spacing,50,0,2.9534632969050915e-4,0.037046481986995394,0.061757186313308385,0.03910019667120206,0.059587232147962035,0.049814017187140826,1000,0.05,0,0.371965625718354,0,1,1,0.02471070432631299,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),9,Equal spacing,100,0,2.9534632969050915e-4,0.03963854313467985,0.05805975911035003,0.042149814002413265,0.0568558892679754,0.049592957297869236,1000,0.05,0,0.8140854042615331,0,1,1,0.01842121597567018,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),9,Equal spacing,200,0,2.9534632969050915e-4,0.043625630883469116,0.05536353768669177,0.04436834295890987,0.05447708968548858,0.04956435890116735,1000,0.05,0,0.8712821976653018,0,1,1,0.011737906803222654,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),9,Equal spacing,500,0,2.9534632969050915e-4,0.0458825649034838,0.05390887560973054,0.04649930794413188,0.05321572543312052,0.049897645860590215,1000,0.05,0,0.20470827881957643,0,0,0,0.008026310706246736,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),9,Equal spacing,1000,0,2.9534632969050915e-4,0.04718380678102706,0.052706512671099104,0.04748837321493321,0.05223580561841168,0.049943802257972375,1000,0.05,0,0.11239548405525546,0,0,0,0.005522705890072047,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),11,Equal spacing,30,0,4.45815821060265e-4,0.031895026284291104,0.062413686354579535,0.034089093167988506,0.06073966027163922,0.048787234577191856,1000,0.05,0,2.4255308456162945,0,1,1,0.03051866007028843,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),11,Equal spacing,50,0,4.45815821060265e-4,0.03703741291285996,0.060390516175486485,0.039035346019934726,0.059016335902346936,0.04912655257016219,1000,0.05,0,1.746894859675621,0,1,1,0.023353103262626525,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),11,Equal spacing,100,0,4.45815821060265e-4,0.04096228462035046,0.057992354551020066,0.04249492859834501,0.05618686605764952,0.049747611443054805,1000,0.05,0,0.504777113890395,0,1,1,0.017030069930669606,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),11,Equal spacing,200,0,4.45815821060265e-4,0.043374027818703274,0.05550053945018047,0.04436103095861321,0.054712497077199405,0.04970238263367712,1000,0.05,0,0.5952347326457635,0,1,1,0.012126511631477196,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),11,Equal spacing,500,0,4.45815821060265e-4,0.046232546887863754,0.05334006456543818,0.046769178807746566,0.05282608088801241,0.049868013150651,1000,0.05,0,0.2639736986980029,0,0,0,0.007107517677574428,Time unstructured (slow response)
bold(H:~alpha[random]~(Maximal~Elevation)),11,Equal spacing,1000,0,4.45815821060265e-4,0.047118560085120255,0.05263600941058368,0.04761501972440931,0.052150419484541966,0.049830459199375614,1000,0.05,0,0.33908160124877795,0,0,0,0.005517449325463428,Time unstructured (slow response)
