parameter,number_measurements,measurement_spacing,sample_size,bias,num_removed_values,lower_ci,upper_ci,lower_ci_perc,upper_ci_perc,sd_estimate,estimate,num_converged_values,pop_value,perc_error,conv_fail
theta_fixed,9,Middle-and-extreme,100,-0.038979975459141364,0,2.989515302178107,3.010327577375129,-1.0484697821893263,1.0327577375128616,0.00522985898038165,3.00020385977471,1000,3,-0.006795325823668226,0
theta_fixed,9,Middle-and-extreme,200,-0.058326137527949816,0,2.9931056028947176,3.006911901158603,-0.6894397105282446,0.6911901158602807,0.003642211500445908,3.000212436128881,1000,3,-0.0070812042960296155,0
theta_fixed,9,Middle-and-extreme,500,-0.07861554985970291,0,2.995426688266554,3.0049651854372827,-0.4573311733445817,0.4965185437282682,0.0024090066293575587,3.0001893853807826,999,3,-0.006312846026087134,0
theta_fixed,9,Middle-and-extreme,1000,-0.10333803347973136,1,2.9967111217276083,3.003503382815554,-0.32888782723916377,0.3503382815554356,0.0017086639820204374,3.0001765699757796,996,3,-0.005885665859321302,0
theta_fixed,11,Equal,30,-0.028024005326100512,0,2.9819646058772014,3.017711092429892,-1.8035394122798598,1.7711092429892235,0.009441330562759002,3.0002645838979762,1000,3,-0.008819463265874461,0
theta_fixed,11,Equal,50,-0.037388478073613944,1,2.986388246990322,3.0138145847422995,-1.3611753009678251,1.3814584742299512,0.007023609742022117,3.000262602078837,998,3,-0.008753402627907175,0
theta_fixed,11,Equal,100,-0.03851957157695207,0,2.9901536617735984,3.010169805163606,-0.9846338226401796,1.0169805163606016,0.005169394919333994,3.000199122877605,997,3,-0.006637429253493939,0
theta_fixed,11,Equal,200,-0.12286177434512974,0,2.993589202142105,3.0074811900247447,-0.6410797857895056,0.7481190024744566,0.0036857169906833256,3.0004528337292093,996,3,-0.015094457640311513,0
theta_fixed,11,Equal,500,-0.19150818025358815,0,2.995953371688269,3.0047771293189336,-0.404662831173086,0.4777129318933371,0.0022905845655785185,3.000438665681871,996,3,-0.014622189395696594,0
theta_fixed,11,Equal,1000,-0.16152822391835595,0,2.996922238346014,3.0036173309403127,-0.3077761653986144,0.36173309403125575,0.0016873993930808238,3.0002725626270053,997,3,-0.00908542090017524,0
theta_fixed,11,Time increasing,30,-0.042034454648515095,0,2.9822070215409298,3.0188156010016605,-1.7792978459070252,1.8815601001660385,0.009562411356683417,3.000401950746503,998,3,-0.01339835821676516,0
theta_fixed,11,Time increasing,50,-0.018714556330598722,1,2.9855064625649552,3.0141212083038282,-1.44935374350446,1.4121208303828285,0.007392789720060733,3.0001383527796563,998,3,-0.004611759321878258,0
theta_fixed,11,Time increasing,100,-0.04441455994072204,0,2.989462119465216,3.010779766653738,-1.0537880534783828,1.0779766653738032,0.005370114416162265,3.000238511268625,996,3,-0.00795037562083915,0
theta_fixed,11,Time increasing,200,-0.07444908138838048,0,2.9931064119326987,3.007006071988113,-0.6893588067301204,0.7006071988112738,0.0036171628962345273,3.000269294454857,995,3,-0.008976481828559812,0
theta_fixed,11,Time increasing,500,-0.13259087691894308,0,2.996035733351941,3.004892451036601,-0.39642666480587674,0.48924510366008533,0.0022814953579849266,3.0003025054702017,996,3,-0.010083515673390647,0
